iter	MultiClass
224	0.07390714822
225	0.07346696266
226	0.07305437416
227	0.07263885493
228	0.07224679281
229	0.07187481931
230	0.07146974509
231	0.07110816874
232	0.07075350918
233	0.07043179643
234	0.07006663993
235	0.06967012946
236	0.06925886036
237	0.06894549936
238	0.06856083642
239	0.06825637775
240	0.06795753699
241	0.06761264589
242	0.06724056141
243	0.06696136731
244	0.06665534508
245	0.06634715894
246	0.06595894285
247	0.0655715231
248	0.06521785086
249	0.06486361898
250	0.06456390553
251	0.06435950367
252	0.06403975845
253	0.06372198192
254	0.06346299464
255	0.06311634803
256	0.062745501
257	0.06240361868
258	0.06210149609
259	0.0617896842
260	0.0615017146
261	0.06119889867
262	0.06090404043
263	0.06060189465
264	0.06036851323
265	0.06004492835
266	0.05969005938
267	0.05935803978
268	0.05903161472
269	0.05869497205
270	0.05842672523
271	0.05819198721
272	0.05791872831
273	0.05763480309
274	0.05735870586
275	0.05702608117
276	0.05674194241
277	0.05655324366
278	0.0562448851
279	0.05592189051
280	0.05565317287
281	0.05532484915
282	0.05510293658
283	0.0548260872
284	0.0545298707
285	0.054314305
286	0.05404043474
287	0.05379170799
288	0.05356428292
289	0.05330684036
290	0.05308416878
291	0.05287185163
292	0.05261950166
293	0.05243774543
294	0.05217439652
295	0.05192394771
296	0.05166919143
297	0.05138230224
298	0.05113842414
299	0.05086460766
300	0.05059360075
301	0.05035362078
302	0.05015542082
303	0.04989924098
304	0.04961921685
305	0.04938518154
306	0.04905117528
307	0.04880125872
308	0.04857034044
309	0.04829045072
310	0.04799337459
311	0.04770619867
312	0.04747177316
313	0.04733281417
314	0.04712963115
315	0.04695168792
316	0.04676890509
317	0.04654747922
318	0.0463042514
319	0.04612140038
320	0.04590960279
321	0.04573822596
322	0.04556927295
323	0.04537114217
324	0.04519242906
325	0.04499866483
326	0.04479830763
327	0.04459889703
328	0.04437366223
329	0.04419521731
330	0.04399791776
331	0.04379467372
332	0.04360024179
333	0.04340045525
334	0.0432161604
335	0.04309470762
336	0.04289728092
337	0.04274386406
338	0.04255935544
339	0.04235105471
340	0.04222936266
341	0.04201959539
342	0.04181158062
343	0.04162809139
344	0.04142410901
345	0.04126574664
346	0.04109063255
347	0.04091271526
348	0.04072088793
349	0.04054636855
350	0.04034952099
351	0.04018996433
352	0.04004114719
353	0.03990345916
354	0.03977342623
355	0.03962990054
356	0.0394764037
357	0.03933585473
358	0.03919427539
359	0.03907737716
360	0.03884985677
361	0.03868845894
362	0.0385191628
363	0.03838526022
364	0.03825718858
365	0.03807655055
366	0.0378945878
367	0.03775581068
368	0.03759452998
369	0.03743362672
370	0.03730038694
371	0.03715808162
372	0.03700295382
373	0.03680037224
374	0.03666812194
375	0.03648143935
376	0.03635513487
377	0.03623662336
378	0.03607338389
379	0.03589090026
380	0.03572734751
381	0.03556355954
382	0.03539590116
383	0.03522577515
384	0.03510471974
385	0.03496019167
386	0.03487007976
387	0.03477304538
388	0.03462796932
389	0.03451613283
390	0.03436939604
391	0.03423382366
392	0.03407880692
393	0.03401238981
394	0.0338867671
395	0.03375416228
396	0.03360251516
397	0.0334802915
398	0.03336280162
399	0.03323507756
	0.03419926107
56
399	0.04534114861
576
