,n,Model,F1_val,Parameters
161,13,XGBClassifier,0.9289628945080214,"{'learning_rate': 0.038552513216866244, 'max_depth': 9, 'min_child_weight': 5.201017842669792, 'gamma': 2.1116523191368683, 'reg_alpha': 0.09093710937623259, 'reg_lambda': 1.1587042072057403, 'subsample': 0.5183004244877538, 'colsample_bytree': 0.5875417866124526}"
162,12,XGBClassifier,0.9265279876102532,"{'learning_rate': 0.06330777011522398, 'max_depth': 10, 'min_child_weight': 3.576943678658965, 'gamma': 1.529870585334245, 'reg_alpha': 2.59362866704, 'reg_lambda': 1.2395848918949612, 'subsample': 0.9093220317365523, 'colsample_bytree': 0.7286713837881387}"
163,15,XGBClassifier,0.9347408713286885,"{'learning_rate': 0.07171334936515802, 'max_depth': 12, 'min_child_weight': 8.069290556267418, 'gamma': 0.3875570294613906, 'reg_alpha': 0.000322398787228681, 'reg_lambda': 5.964641571164746, 'subsample': 0.7873561313052956, 'colsample_bytree': 0.5265355497597782}"
164,14,XGBClassifier,0.9205487615074138,"{'learning_rate': 0.01779648667723681, 'max_depth': 5, 'min_child_weight': 2.1856057191661082, 'gamma': 0.184459090077164, 'reg_alpha': 0.0015428239209473672, 'reg_lambda': 1.7088221604234313, 'subsample': 0.5055315627420147, 'colsample_bytree': 0.7163012329004057}"
165,11,XGBClassifier,0.9133516067814528,"{'learning_rate': 0.02410177066259156, 'max_depth': 8, 'min_child_weight': 7.300084314973991, 'gamma': 2.336227876998824, 'reg_alpha': 0.02515707635622496, 'reg_lambda': 7.695687763583727, 'subsample': 0.5328500043669757, 'colsample_bytree': 0.679946837652667}"
166,16,XGBClassifier,0.9390918111205396,"{'learning_rate': 0.22064648351127086, 'max_depth': 12, 'min_child_weight': 1.6336207044483717, 'gamma': 0.18563696936920515, 'reg_alpha': 0.03755607273829343, 'reg_lambda': 12.554511691895327, 'subsample': 0.5799933631612137, 'colsample_bytree': 0.7661147687690211}"
167,17,XGBClassifier,0.933722047742334,"{'learning_rate': 0.06647534077522019, 'max_depth': 9, 'min_child_weight': 1.2951405155388793, 'gamma': 1.4448646770968825, 'reg_alpha': 0.0001413945439161232, 'reg_lambda': 9.977396309481417, 'subsample': 0.9329429804740201, 'colsample_bytree': 0.8975696035080195}"
168,18,XGBClassifier,0.9340933272239074,"{'learning_rate': 0.059760526884400124, 'max_depth': 3, 'min_child_weight': 2.0231437278492153, 'gamma': 2.239026850530414, 'reg_alpha': 0.0002752604730358812, 'reg_lambda': 3.601443519590268, 'subsample': 0.7636939994916696, 'colsample_bytree': 0.6927055286040776}"
169,19,XGBClassifier,0.9289592790891578,"{'learning_rate': 0.10615192559926342, 'max_depth': 3, 'min_child_weight': 5.781911311332351, 'gamma': 0.9116010000345647, 'reg_alpha': 5.913265808432978, 'reg_lambda': 9.002609498016627, 'subsample': 0.5537358116705724, 'colsample_bytree': 0.9868122599139328}"
170,20,XGBClassifier,0.933366481653059,"{'learning_rate': 0.12976922813035432, 'max_depth': 12, 'min_child_weight': 5.165896049780373, 'gamma': 2.6614986059488897, 'reg_alpha': 0.009926370096094525, 'reg_lambda': 1.1708029977760663, 'subsample': 0.6821623080212955, 'colsample_bytree': 0.8187340520762629}"
171,21,XGBClassifier,0.917859087536887,"{'learning_rate': 0.035192576816902466, 'max_depth': 11, 'min_child_weight': 1.8764451344681674, 'gamma': 2.6733990425340797, 'reg_alpha': 0.18984301581340116, 'reg_lambda': 4.4472704342034355, 'subsample': 0.6068815625184353, 'colsample_bytree': 0.5915101070526105}"
172,22,XGBClassifier,0.9333529587792745,"{'learning_rate': 0.07092617763469063, 'max_depth': 6, 'min_child_weight': 5.106796373318865, 'gamma': 0.9887164163102682, 'reg_alpha': 1.2302521537358215, 'reg_lambda': 1.8723510539026293, 'subsample': 0.8823131913768372, 'colsample_bytree': 0.6052361246166238}"
173,23,XGBClassifier,0.9178302133964662,"{'learning_rate': 0.02497462094975709, 'max_depth': 5, 'min_child_weight': 6.025379938391867, 'gamma': 0.4094032394496224, 'reg_alpha': 2.7494773981994154, 'reg_lambda': 17.012477912697985, 'subsample': 0.7831306957224997, 'colsample_bytree': 0.8089858832720713}"
174,25,XGBClassifier,0.9369441538886879,"{'learning_rate': 0.061750685022897975, 'max_depth': 3, 'min_child_weight': 4.145704036635096, 'gamma': 0.9804395643000625, 'reg_alpha': 0.1031226119713223, 'reg_lambda': 16.547820212319298, 'subsample': 0.5964059454155468, 'colsample_bytree': 0.8450428676628087}"
175,27,XGBClassifier,0.9431877036538999,"{'learning_rate': 0.38739839953440164, 'max_depth': 6, 'min_child_weight': 3.184311386022073, 'gamma': 1.1697526245103662, 'reg_alpha': 0.021771775886980434, 'reg_lambda': 2.3379465179488075, 'subsample': 0.5126743555963015, 'colsample_bytree': 0.7417098081623023}"
176,24,XGBClassifier,0.9211359704805894,"{'learning_rate': 0.018792667165734772, 'max_depth': 6, 'min_child_weight': 1.3600012134217403, 'gamma': 0.8649810716989788, 'reg_alpha': 1.5801693680026436, 'reg_lambda': 3.3669963053931276, 'subsample': 0.6211878242333775, 'colsample_bytree': 0.8043535984845984}"
177,26,XGBClassifier,0.9249124466955103,"{'learning_rate': 0.36566845326640723, 'max_depth': 4, 'min_child_weight': 6.405761111619921, 'gamma': 0.06768234685212718, 'reg_alpha': 0.2542655057604436, 'reg_lambda': 2.8499251364080824, 'subsample': 0.510553396706223, 'colsample_bytree': 0.6771608351692263}"
178,28,XGBClassifier,0.9390339226514085,"{'learning_rate': 0.2929816721479686, 'max_depth': 5, 'min_child_weight': 5.0479888871187075, 'gamma': 0.3511919501551485, 'reg_alpha': 0.26278623683421864, 'reg_lambda': 1.0815376138799269, 'subsample': 0.5183496651294937, 'colsample_bytree': 0.7193094653439558}"
179,29,XGBClassifier,0.9398176481353463,"{'learning_rate': 0.1512847529257265, 'max_depth': 7, 'min_child_weight': 4.891482243398297, 'gamma': 0.7655456532718722, 'reg_alpha': 0.0030874023782854945, 'reg_lambda': 18.666305963383866, 'subsample': 0.7685326048059771, 'colsample_bytree': 0.7480515813977444}"
180,30,XGBClassifier,0.9406265414841465,"{'learning_rate': 0.3795694828845609, 'max_depth': 5, 'min_child_weight': 2.870395811079767, 'gamma': 0.4189652281580013, 'reg_alpha': 0.8083709103267256, 'reg_lambda': 1.1842306608521942, 'subsample': 0.7243812068378329, 'colsample_bytree': 0.8229925018564973}"
181,31,XGBClassifier,0.9328430462764326,"{'learning_rate': 0.22176627179589917, 'max_depth': 6, 'min_child_weight': 3.5507426750907616, 'gamma': 0.1069673235692454, 'reg_alpha': 0.013435523986951562, 'reg_lambda': 1.824702777480235, 'subsample': 0.5218472125585739, 'colsample_bytree': 0.8143876735152124}"
182,32,XGBClassifier,0.9408053266531485,"{'learning_rate': 0.3669287053877072, 'max_depth': 5, 'min_child_weight': 2.8909849505257927, 'gamma': 0.42855014156891535, 'reg_alpha': 0.024557139439803453, 'reg_lambda': 1.067829555454245, 'subsample': 0.6652344378654265, 'colsample_bytree': 0.6001872486180787}"
183,33,XGBClassifier,0.9419626127464965,"{'learning_rate': 0.1806501023280311, 'max_depth': 8, 'min_child_weight': 3.697749823258301, 'gamma': 0.9349104237014434, 'reg_alpha': 0.005853649701594171, 'reg_lambda': 1.672702715755277, 'subsample': 0.6984364984692255, 'colsample_bytree': 0.6934747683497576}"
184,34,XGBClassifier,0.9389819818596932,"{'learning_rate': 0.26695374821767115, 'max_depth': 7, 'min_child_weight': 1.3164611353512004, 'gamma': 0.19918604941099607, 'reg_alpha': 0.20815564870049524, 'reg_lambda': 1.474725416538922, 'subsample': 0.5040903875132985, 'colsample_bytree': 0.7825949200809217}"
185,35,XGBClassifier,0.9383226884205604,"{'learning_rate': 0.49763322733722487, 'max_depth': 7, 'min_child_weight': 1.611239194905894, 'gamma': 0.22671263590589985, 'reg_alpha': 1.112250933302021, 'reg_lambda': 1.0125587792665456, 'subsample': 0.6671247465733081, 'colsample_bytree': 0.6860350206671082}"
186,36,XGBClassifier,0.9365144397654114,"{'learning_rate': 0.2994849861892502, 'max_depth': 6, 'min_child_weight': 4.178661802679602, 'gamma': 0.24594953483570933, 'reg_alpha': 0.20983975986548162, 'reg_lambda': 1.8111715059625562, 'subsample': 0.7417921504820684, 'colsample_bytree': 0.7246306010075119}"
187,37,XGBClassifier,0.9351891087479997,"{'learning_rate': 0.36203689015046164, 'max_depth': 5, 'min_child_weight': 3.566775895432998, 'gamma': 0.16459275245886237, 'reg_alpha': 0.0926207909175627, 'reg_lambda': 1.0245233801428462, 'subsample': 0.5492181226950636, 'colsample_bytree': 0.7252169470957045}"
188,38,XGBClassifier,0.9289358137699341,"{'learning_rate': 0.41040561007202936, 'max_depth': 7, 'min_child_weight': 3.031919367384036, 'gamma': 0.05498574206333745, 'reg_alpha': 0.06107279979122168, 'reg_lambda': 1.3244210967352001, 'subsample': 0.5407884706148272, 'colsample_bytree': 0.763662635890779}"
189,39,XGBClassifier,0.9381583426096382,"{'learning_rate': 0.06806906920656676, 'max_depth': 8, 'min_child_weight': 3.8354130093386867, 'gamma': 0.737253774582654, 'reg_alpha': 0.018281674517566408, 'reg_lambda': 17.100678513922762, 'subsample': 0.7334035869301058, 'colsample_bytree': 0.9378477284758785}"
190,40,XGBClassifier,0.9350208148927633,"{'learning_rate': 0.47978557049189574, 'max_depth': 7, 'min_child_weight': 3.5089915700969025, 'gamma': 0.12317051848624838, 'reg_alpha': 0.14010766230253036, 'reg_lambda': 1.1256722367226049, 'subsample': 0.6608070303743773, 'colsample_bytree': 0.8172422591175071}"
191,41,XGBClassifier,0.944212695076985,"{'learning_rate': 0.48289373623589993, 'max_depth': 5, 'min_child_weight': 5.318595901088399, 'gamma': 1.1699027041451944, 'reg_alpha': 0.010123646435611594, 'reg_lambda': 2.4476099717567332, 'subsample': 0.5786699537334843, 'colsample_bytree': 0.7600522502932688}"
192,42,XGBClassifier,0.9407629926536814,"{'learning_rate': 0.25790275233770543, 'max_depth': 7, 'min_child_weight': 4.254626310941837, 'gamma': 0.4313455139912513, 'reg_alpha': 0.08559171472211521, 'reg_lambda': 1.4674618319609192, 'subsample': 0.6929767392364393, 'colsample_bytree': 0.7393813204608848}"
193,43,XGBClassifier,0.9412024808593676,"{'learning_rate': 0.33436486504866786, 'max_depth': 7, 'min_child_weight': 1.9704921516867855, 'gamma': 1.7157880409526132, 'reg_alpha': 0.03046171645939313, 'reg_lambda': 1.175510653829116, 'subsample': 0.5855901810828075, 'colsample_bytree': 0.6953411161816698}"
194,44,XGBClassifier,0.9384321597423234,"{'learning_rate': 0.4745506324137199, 'max_depth': 6, 'min_child_weight': 3.688794556513577, 'gamma': 1.8638152682166673, 'reg_alpha': 0.0077990000861772575, 'reg_lambda': 2.2637795005843793, 'subsample': 0.6419910769162045, 'colsample_bytree': 0.7282323788051647}"
195,45,XGBClassifier,0.9422305917151986,"{'learning_rate': 0.3662047603322296, 'max_depth': 6, 'min_child_weight': 4.747044832251441, 'gamma': 1.0349705631850088, 'reg_alpha': 0.040636996700403785, 'reg_lambda': 14.661273335523372, 'subsample': 0.8709975656399241, 'colsample_bytree': 0.8790705382004468}"
196,46,XGBClassifier,0.9439238137310495,"{'learning_rate': 0.25804285873034805, 'max_depth': 6, 'min_child_weight': 5.8250649525281055, 'gamma': 0.5423587257928089, 'reg_alpha': 0.0028617029793511846, 'reg_lambda': 9.881155029948781, 'subsample': 0.8578818500212282, 'colsample_bytree': 0.7393588382310038}"
197,47,XGBClassifier,0.9444938367072339,"{'learning_rate': 0.23884080170547178, 'max_depth': 7, 'min_child_weight': 3.545139454913364, 'gamma': 0.6597789637446784, 'reg_alpha': 0.005587725478518274, 'reg_lambda': 16.285872143282518, 'subsample': 0.6833266659268526, 'colsample_bytree': 0.663683245245107}"
198,49,XGBClassifier,0.9498820659544066,"{'learning_rate': 0.31183717353699403, 'max_depth': 3, 'min_child_weight': 1.9092149748498457, 'gamma': 0.5776879488090906, 'reg_alpha': 1.3036369770875613, 'reg_lambda': 1.4919232047483344, 'subsample': 0.7181065219444565, 'colsample_bytree': 0.9722126862480334}"
199,48,XGBClassifier,0.9386121278353894,"{'learning_rate': 0.3463284722558538, 'max_depth': 4, 'min_child_weight': 1.7643452587932629, 'gamma': 0.06962843695906212, 'reg_alpha': 0.06756460658014274, 'reg_lambda': 1.3392165583184583, 'subsample': 0.8175908363220357, 'colsample_bytree': 0.6092373570694928}"
